,Name,Name_Chinese,Region,Language,States,Specific,Owner,Owner_Chinese,Parent,Parent_Chinese,Twitter,Twitter_url,Twitter_fol,Facebook,Facebook_url,Facebook_fol,Instagram,Instagram_url,Instagram_fol,Threads,Threads_url,Threads_fol,Youtube,Youtube_url,Youtube_fol,Tiktok,Tiktok_url,Tiktok_fol,Max_media_fol,Max_media,All_media_fol
0,Yang Xinmeng (Abby Yang),杨欣萌,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_bubblyabby_,https://twitter.com/_bubblyabby_,1678,itsAbby-103043374799622,https://www.facebook.com/itsAbby-103043374799622,1387432,_bubblyabby_,https://www.instagram.com/_bubblyabby_/,9507,_bubblyabby_,https://www.threads.net/@_bubblyabby_,197,itsAbby,https://www.youtube.com/itsAbby,4680,_bubblyabby_,https://www.tiktok.com/@_bubblyabby_,660,1387432,Facebook,1404154
1,CGTN Culture Express,,Anglosphere,English,Cross States,Language and Cultural Communities,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,_cultureexpress,https://twitter.com/_cultureexpress,2488,,,0,_cultureexpress/,https://www.instagram.com/_cultureexpress/,635,,,0,,,0,,,0,2488,Twitter,3123
2,All-China Students' Federation,中华全国学联,China,Chinese,Asia,Greater China,All-China Students' Federation,中华全国学生联合会,Central Committee of the Communist Youth League,共青团中央,ACSF1919,https://twitter.com/ACSF1919,5136,,,0,,,0,,,0,,,0,,,0,5136,Twitter,5136
3,Chen Zhong (Dechinghutay / Ghoti),陈重,Afghanistan,Pashto,Asia,South Asia,China Media Group (CMG),中央广播电视总台,Central Publicity Department,中共中央宣传部,afghanchina,https://twitter.com/afghanchina,1800,dechinghutay,https://www.facebook.com/dechinghutay/,1600000,,,0,,,0,dechinghutay,https://www.youtube.com/channel/UCXl9X2fi65wKf65r13efAGQ,695,dechinghutay,https://www.tiktok.com/@dechinghutay,326100,1600000,Facebook,1928595
4,Yang Sheng,,Anglosphere,English,Cross States,Language and Cultural Communities,People's Daily Press,人民日报社,Central Committee of the Chinese Communist Party,中国共产党中央委员会,AlexYsalex17,https://twitter.com/AlexYsalex17,2821,,,0,,,0,,,0,,,0,,,0,2821,Twitter,2821
5,Yunnan Gateway,云桥网,Yunnan,Chinese,Asia,Greater China,Yunnan Daily Press Group,云南日报报业集团,State Council Information Office (SCIO),国务院新闻办公室,Amazing_Yunnan,https://twitter.com/Amazing_Yunnan,12400,,,0,,,0,,,0,,,0,,,0,12400,Twitter,12400
6,Chen Xu,,Switzerland,German,Europe,Non-EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ChenXu,https://twitter.com/Amb_ChenXu,12600,,,0,,,0,,,0,,,0,,,0,12600,Twitter,12600
7,Li Song,李松,Austria,German,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LiSong,https://twitter.com/Amb_LiSong,5972,,,0,,,0,,,0,,,0,,,0,5972,Twitter,5972
8,Lu Kang,陆慷,Indonesia,Bahasa Indonesia,Asia,ASEAN,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_LuKang,https://twitter.com/Amb_LuKang,40600,,,0,,,0,,,0,,,0,,,0,40600,Twitter,40600
9,Zhang Yiming,张益明,UAE,Arabic,Asia,Middle East,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_Yiming,https://twitter.com/Amb_Yiming,20300,,,0,amb_yiming,https://www.instagram.com/amb_yiming/,19,,,0,,,0,,,0,20300,Twitter,20319
10,Zhu Jing,朱京,EU,English,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Amb_ZhuJing,https://twitter.com/Amb_ZhuJing,18500,,,0,,,0,,,0,,,0,,,0,18500,Twitter,18500
11,Chinese Embassy in France,中国驻法国大使馆,France,French,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadeChine,https://twitter.com/AmbassadeChine,63800,AmbassadeChine,https://www.facebook.com/AmbassadeChine,61000,ambassadedechine,https://www.instagram.com/ambassadedechine/,2593,,,0,,,0,ambassadedechine,https://www.tiktok.com/@ambassadedechine,168600,168600,Tiktok,295993
12,Liu Yuxi,,African Union,English,Africa,African Union General,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,Ambassador_Liu,https://twitter.com/Ambassador_Liu,11200,,,0,,,0,,,0,,,0,,,0,11200,Twitter,11200
13,Huang Xingyuan,,Cyprus,English,Europe,EU,Ministry of Foreign Affairs,中华人民共和国外交部,Ministry of Foreign Affairs,中华人民共和国外交部,AmbassadorHuang,https://twitter.com/AmbassadorHuang,2534,,,0,,,0,,,0,,,0,,,0,2534,Twitter,2534
